service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20170403,20170625
2,0,0,0,0,0,1,0,20170403,20170625
3,0,0,0,0,0,0,1,20170403,20170625
78901,0,0,0,0,0,0,0,20170403,20170625
79001,0,0,0,0,0,0,0,20170403,20170625
101,0,0,0,0,0,0,0,20170403,20170625
1501,0,0,0,0,0,0,0,20170403,20170625
59101,0,0,0,0,0,0,0,20170403,20170625
201,0,0,0,0,0,0,0,20170403,20170625
30101,0,0,0,0,0,0,0,20170403,20170625
22801,0,0,0,0,0,0,0,20170403,20170625
62301,0,0,0,0,0,0,0,20170403,20170625
50902,0,0,0,0,0,0,0,20170403,20170625
78802,0,0,0,0,0,0,0,20170403,20170625
50802,0,0,0,0,0,0,0,20170403,20170625
