route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
17862,RGRTA,1 ,Lake,,3,,,
17863,RGRTA,3 ,Lyell,,3,,,
17864,RGRTA,4 ,Genesee,,3,,,
17865,RGRTA,6 ,Jefferson Ave,,3,,,
17866,RGRTA,8 ,Chili,,3,,,
17867,RGRTA,9 ,Jay/Maple,,3,,,
17868,RGRTA,10 ,Dewey,,3,,,
17869,RGRTA,13 ,Edison,,3,,,
17870,RGRTA,14 ,West Ridge/East Ridge,,3,,,
17871,RGRTA,15 ,Latta,,3,,,
17872,RGRTA,16 ,Crosstown/Driving Park/Emerson,,3,,,
17873,RGRTA,19 ,Plymouth,,3,,,
17874,RGRTA,23 ,Jefferson Rd,,3,,,
17875,RGRTA,24 ,Marketplace Mall/RIT,,3,,,
17876,RGRTA,25 ,Thurston/MCC,,3,,,
17877,RGRTA,28 ,Genesee Park/Strong,,3,,,
17878,RGRTA,31 ,Park,,3,,,
17879,RGRTA,33 ,Goodman,,3,,,
17880,RGRTA,34 ,Hudson,,3,,,
17881,RGRTA,35 ,Saint Paul,,3,,,
17882,RGRTA,36 ,Clifford,,3,,,
17883,RGRTA,37 ,Clinton,,3,,,
17884,RGRTA,38 ,East Main,,3,,,
17885,RGRTA,39 ,Bay/Webster,,3,,,
17886,RGRTA,40 ,Portland,,3,,,
17887,RGRTA,41 ,Joseph,,3,,,
17888,RGRTA,42 ,Parsells,,3,,,
17889,RGRTA,45 ,South,,3,,,
17890,RGRTA,47 ,Monroe,,3,,,
17891,RGRTA,48 ,University,,3,,,
17892,RGRTA,50 ,Monroe Community College,,3,,,
17893,RGRTA,51 ,S. Clinton,,3,,,
17894,RGRTA,53 ,S. Goodman,,3,,,
17895,RGRTA,57 ,East Ave,,3,,,
17896,RGRTA,68 ,RIT Campus,,3,,,
17897,RGRTA,74 ,Tiger East End Express,,3,,,
17898,RGRTA,81 ,East Rochester - Fairport,,3,,,
17899,RGRTA,82 ,Penfield,,3,,,
17900,RGRTA,83 ,Calkins Rd,,3,,,
17901,RGRTA,84 ,Perinton/Eastview,,3,,,
