stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,1,Airport & Brooks,AIRPORT RD,43.130536,-77.665754,,,,,,0
3,3,Airport & Terminal Lower Level,AIRPORT RD & EASTSIDE WAY,43.12795,-77.664456,,,,,,0
9,9,Alexander & Gardiner,ALEXANDER ST & GARDINER PARK,43.153318,-77.59522,,,,,,0
10,10,Alexander & Gardiner,273 ALEXANDER ST & CHAPMAN AL,43.153006,-77.595545,,,,,,0
14,14,Alexander & Park,ALEXANDER ST & PARK AVE,43.152352,-77.595927,,,,,,0
17,17,Arnett & Genesee,ARNETT BLVD & GENESEE ST,43.142162,-77.636903,,,,,,0
18,18,Arnett & Kenwood,ARNETT BLVD & KENWOOD AVE,43.142293,-77.639253,,,,,,0
19,19,Arnett & Post,ARNETT BLVD & POST AVE,43.142174,-77.648223,,,,,,0
21,21,Arnett & Rugby,ARNETT BLVD & RUGBY AVE,43.142155,-77.643471,,,,,,0
23,23,Arnett & Wellington,ARNETT BLVD & WELLINGTON AVE,43.142303,-77.640612,,,,,,0
24,24,Arnett & Wellington,ARNETT BLVD & WELLINGTON AVE,43.142175,-77.640896,,,,,,0
25,25,Arnett & Woodbine,ARNETT BLVD & WOODBINE AVE,43.142168,-77.646083,,,,,,0
26,26,Arnett & Woodbine,ARNETT BLVD & WOODBINE AVE,43.142306,-77.645646,,,,,,0
33,33,Backus & 40 Backus,BACKUS ST & PHELPS AVE,43.172908,-77.632279,,,,,,0
37,37,Backus & Bloss,BACKUS ST & BLOSS ST,43.170426,-77.632278,,,,,,0
39,39,Backus & Phelps,BACKUS ST & PHELPS AVE,43.171681,-77.632293,,,,,,0
43,43,Bay & Leedale,COUNTY HWY 16 & LEEDALE DR,43.194867,-77.507617,,,,,,0
45,45,Bay & 1082 Bay,COUNTY HWY 16 & LEEDALE DR,43.201679,-77.51169,,,,,,0
46,46,Bay & 1154 Bay Opp. Avalon,COUNTY HWY 16 & AVALON TRL,43.19688,-77.508833,,,,,,0
48,48,Bay & Ackerman,BAY ST & ACKERMAN ST,43.171078,-77.576399,,,,,,0
49,49,Bay & Baycliff,BAY ST & BAYCLIFF DR,43.171193,-77.576191,,,,,,0
52,52,Bay & Coverly,BAY ST & COVERLY ST,43.171414,-77.562074,,,,,,0
53,53,Bay & Culver,,43.1716,-77.560706,,,,,,0
54,54,Bay & Dorset,BAY ST & DORSET ST,43.171332,-77.570556,,,,,,0
55,55,Bay & Edgeland,BAY ST & EDGELAND ST,43.171466,-77.565257,,,,,,0
56,56,Bay & Ellison,BAY ST & ELLISON ST,43.171248,-77.573921,,,,,,0
57,57,Bay & Ellison,BAY ST & ELLISON ST,43.171129,-77.574338,,,,,,0
59,59,Bay & Empire,COUNTY HWY 16 & UNNAMED ST,43.19076,-77.504487,,,,,,0
60,60,Bay & 5th,BAY ST & 5TH ST,43.170886,-77.583794,,,,,,0
61,61,Bay & 1st,BAY ST & 1ST ST,43.170762,-77.588078,,,,,,0
62,62,Bay & 1st,BAY ST & 1ST ST,43.170868,-77.588038,,,,,,0
